id_municipio,ano,total_estabs,total_vinc_ativos
3509502,2020,51145,390337
3509502,2021,52783,410815
3509502,2022,150,29407
3509502,2023,55867,457064
3509502,2024,59479,472100
3525904,2020,19004,165266
3525904,2021,19405,177390
3525904,2022,64,8264
3525904,2023,21427,195089
3525904,2024,23212,201841
3538709,2020,16442,120764
3538709,2021,16948,128124
3538709,2022,49,9251
3538709,2023,18687,151873
3538709,2024,19898,158077
3552205,2020,25699,193985
3552205,2021,27760,205332
3552205,2022,94,10646
3552205,2023,27762,239600
3552205,2024,29740,247482
