id_municipio,ano,total_vinculos,vinculos_elegiveis,salario_medio_pond,salario_medio_elegiveis
3509502,2020,958556,17888,3170.23,19984.69
3509502,2021,1024156,23593,3517.28,20512.89
3509502,2022,1067414,52543,4828.11,26186.49
3525904,2020,440352,4970,2966.49,20520.45
3525904,2021,480702,6601,3147.66,20467.88
3525904,2022,502744,13706,4090.67,28681.71
3538709,2020,294958,1874,2715.18,21348.35
3538709,2021,312582,2367,2901.17,21590.3
3538709,2022,329932,5471,3607.17,27240.31
3552205,2020,505609,3907,2683.29,21139.56
3552205,2021,551942,5896,2941.46,20760.58
3552205,2022,585869,11073,3623.4,23757.06
