id_municipio,descricao_subsetor,total_2020,total_2022,eleg_2020,eleg_2022,sal_medio_2022,pct_eleg_2022,delta_total_pct,delta_eleg_pct
3509502,Comércio e Administração de Imóveis e Serviços Técnicos,139559,172649,3556,14290,6448.59,8.3,23.7,301.9
3509502,"Instituições de Crédito, Seguros e Capitalização",10058,12963,430,5156,15686.95,39.8,28.9,1099.1
3509502,Transportes e Comunicações,77196,85094,2146,4461,5254.01,5.2,10.2,107.9
3509502,"Serviços Médicos, Odontológicos e Veterinários",97007,115221,305,4154,4089.76,3.6,18.8,1262.0
3509502,Ensino,40948,40872,611,3869,6114.79,9.5,-0.2,533.2
3509502,Comércio Atacadista,45342,48321,2395,3478,5577.51,7.2,6.6,45.2
3509502,Administração Pública Direta e Autárquica,21126,20782,4094,3307,9701.19,15.9,-1.6,-19.2
3509502,"Indústria de Produtos Alimentícios, Bebidas e Álcool",34461,39406,704,3258,5270.91,8.3,14.3,362.8
3509502,Comércio Varejista,239792,252978,243,2268,3412.84,0.9,5.5,833.3
3509502,Indústria Química,12492,13456,937,1786,8926.01,13.3,7.7,90.6
3509502,Serviços Industriais de Utilidade Pública,4618,5671,354,1127,14486.24,19.9,22.8,218.4
3509502,Indústria Mecânica,21740,21339,296,1114,4464.22,5.2,-1.8,276.4
3509502,Indústria do Material de Transporte,11444,11534,700,1091,8159.67,9.5,0.8,55.9
3509502,Construção Civil,43448,50381,99,1062,3774.73,2.1,16.0,972.7
3509502,Indústria do Material Elétrico e de Comunicações,6827,6992,404,771,7163.12,11.0,2.4,90.8
3509502,Extrativismo Mineral,2741,3074,166,272,8211.57,8.8,12.1,63.9
3509502,"Serviços de Alojamento, Alimentação e Reparação",116457,123527,80,248,2445.43,0.2,6.1,210.0
3509502,"Agricultura, Silvicultura, Criação de Animais e Extrativismo Vegetal",4518,6799,115,229,3590.89,3.4,50.5,99.1
3509502,"Indústria da Borracha, Fumo, Couros e Similares",14325,17834,100,176,3908.58,1.0,24.5,76.0
3509502,Não Classificado,,966,,148,6640.24,15.3,,
