id_municipio,descricao_subsetor,estabs_2020,estabs_2024,delta_estabs_pct,vinc_ativos_2024,vinc_total_2022,vinc_eleg_2022,pct_eleg_2022
3509502,Comércio e Administração de Imóveis e Serviços Técnicos,13568,17020,25.4,105910,172649,14290,8.3
3509502,Comércio Varejista,14088,14538,3.2,73189,252978,2268,0.9
3509502,"Serviços Médicos, Odontológicos e Veterinários",3622,7037,94.3,25338,115221,4154,3.6
3509502,"Serviços de Alojamento, Alimentação e Reparação",6699,6261,-6.5,53367,123527,248,0.2
3509502,Transportes e Comunicações,2857,2593,-9.2,33780,85094,4461,5.2
3509502,Construção Civil,2069,2536,22.6,23927,50381,1062,2.1
3509502,Comércio Atacadista,1997,2238,12.1,20121,48321,3478,7.2
3509502,Ensino,1667,2023,21.4,45160,40872,3869,9.5
3509502,"Instituições de Crédito, Seguros e Capitalização",1053,1236,17.4,9809,12963,5156,39.8
3509502,"Indústria de Produtos Alimentícios, Bebidas e Álcool",604,796,31.8,13153,39406,3258,8.3
3509502,Indústria Metalúrgica,410,525,28.0,3743,7459,134,1.8
3509502,Indústria Mecânica,424,476,12.3,3633,21339,1114,5.2
3509502,"Agricultura, Silvicultura, Criação de Animais e Extrativismo Vegetal",505,394,-22.0,2237,6799,229,3.4
3509502,"Indústria da Borracha, Fumo, Couros e Similares",317,392,23.7,6173,17834,176,1.0
3509502,"Indústria do Papel, Papelão, Editorial e Gráfica",297,363,22.2,974,1604,89,5.5
3509502,Indústria Têxtil do Vestuário e Artefatos de Tecidos,250,232,-7.2,1952,4095,21,0.5
3509502,Indústria da Madeira e do Mobiliário,158,190,20.3,935,1185,3,0.3
3509502,Indústria Química,155,172,11.0,4254,13456,1786,13.3
3509502,Serviços Industriais de Utilidade Pública,94,127,35.1,5525,5671,1127,19.9
3509502,Indústria do Material Elétrico e de Comunicações,111,125,12.6,4353,6992,771,11.0
3509502,Indústria do Material de Transporte,73,87,19.2,8733,11534,1091,9.5
3509502,Indústria de Produtos Minerais Não Metálicos,68,65,-4.4,700,3116,31,1.0
3509502,Administração Pública Direta e Autárquica,46,44,-4.3,24654,20782,3307,15.9
3509502,Extrativismo Mineral,8,6,-25.0,434,3074,272,8.8
3509502,Indústria de Calçados,5,3,-40.0,46,96,0,0.0
3525904,Comércio e Administração de Imóveis e Serviços Técnicos,4940,6983,41.4,32583,62974,1248,2.0
3525904,Comércio Varejista,5062,5330,5.3,28366,99266,1398,1.4
3525904,"Serviços Médicos, Odontológicos e Veterinários",1051,2531,140.8,10292,44410,817,1.8
3525904,"Serviços de Alojamento, Alimentação e Reparação",2427,2121,-12.6,16804,42767,226,0.5
3525904,Transportes e Comunicações,1157,1129,-2.4,16913,58588,684,1.2
3525904,Construção Civil,644,979,52.0,6659,12211,160,1.3
3525904,Comércio Atacadista,744,932,25.3,9887,33040,1508,4.6
3525904,Ensino,696,845,21.4,14329,11728,295,2.5
3525904,"Indústria de Produtos Alimentícios, Bebidas e Álcool",404,449,11.1,11031,28620,1260,4.4
3525904,Indústria Mecânica,298,363,21.8,6566,22822,800,3.5
3525904,"Instituições de Crédito, Seguros e Capitalização",346,363,4.9,3458,4630,1007,21.7
3525904,Indústria Metalúrgica,208,211,1.4,3815,7380,190,2.6
3525904,"Agricultura, Silvicultura, Criação de Animais e Extrativismo Vegetal",312,177,-43.3,803,1818,18,1.0
