id_municipio,nome_area_geral,nome_area_especifica,nome_area_detalhada,conc_2020,conc_2021,conc_2022,conc_2023,conc_2024,matr_2024,ing_2024,delta_conc_pct
3509502,"Negócios, administração e direito",Negócios e administração,Gestão e administração,3312,3149,2358,2897,3015,16482,11441,-9.0
3509502,Computação e Tecnologias da Informação e Comunicação (TIC),Computação e Tecnologias da Informação e Comunicação (TIC),Análise e desenvolvimento de algoritmos e aplicações,0,0,0,0,1278,8574,5675,
3509502,"Negócios, administração e direito",Direito,Direito,1589,1548,1446,1350,1174,6644,2727,-26.1
3509502,Saúde e bem-estar,Saúde,"Promoção, prevenção, terapia e reabilitação",674,1167,910,815,884,6948,4066,31.2
3509502,"Ciências sociais, comunicação e informação",Ciências sociais e comportamentais,Psicologia,554,737,613,602,636,4685,2297,14.8
3509502,Educação,Educação,Formação de professores sem áreas específicas,1231,1672,1487,857,596,5623,3188,-51.6
3509502,Educação,Educação,Formação de professores em áreas específicas (exceto Letras),725,821,695,704,593,4782,2126,-18.2
3509502,"Negócios, administração e direito",Negócios e administração,Marketing e propaganda,744,709,478,654,579,3256,2135,-22.2
3509502,Saúde e bem-estar,Saúde,Medicina,395,423,603,540,577,4481,1038,46.1
3509502,Saúde e bem-estar,Saúde,Enfermagem,377,682,583,464,401,4164,2549,6.4
3509502,"Engenharia, produção e construção",Engenharia e profissões correlatas,Engenharia mecânica e metalurgia,368,514,452,412,378,2389,855,2.7
3509502,"Engenharia, produção e construção",Engenharia e profissões correlatas,Eletrônica e automação,340,330,357,351,363,2818,995,6.8
3509502,Saúde e bem-estar,Saúde,Tecnologia de diagnóstico e tratamento médico,53,258,217,119,363,2881,1726,584.9
3509502,Saúde e bem-estar,Saúde,Farmácia,198,341,418,327,342,2743,1383,72.7
3509502,"Ciências sociais, comunicação e informação",Ciências sociais e comportamentais,Ciências sociais e políticas,287,318,353,346,334,1658,595,16.4
3509502,"Ciências sociais, comunicação e informação",Ciências sociais e comportamentais,Economia,277,336,327,345,296,1984,672,6.9
3509502,"Engenharia, produção e construção",Arquitetura e construção,Engenharia civil e construção,775,743,561,398,287,2071,914,-63.0
3509502,"Negócios, administração e direito",Negócios e administração,Contabilidade e tributação,575,478,390,408,281,2343,1457,-51.1
3509502,Saúde e bem-estar,Saúde,Odontologia,168,111,174,428,276,1628,703,64.3
3509502,"Engenharia, produção e construção",Engenharia e profissões correlatas,Eletricidade e energia,294,313,297,254,261,1940,879,-11.2
3509502,"Negócios, administração e direito",Negócios e administração,"Finanças, bancos e seguros",229,203,139,204,256,1084,848,11.8
3509502,"Engenharia, produção e construção",Arquitetura e construção,Arquitetura e planejamento urbano,294,339,329,237,251,1731,665,-14.6
3509502,"Negócios, administração e direito",Negócios e administração,Gestão comercial,229,220,194,268,245,1271,1158,7.0
3509502,Computação e Tecnologias da Informação e Comunicação (TIC),Computação e Tecnologias da Informação e Comunicação (TIC),Infraestrutura e gestão de TIC,197,173,146,207,231,1588,1155,17.3
3509502,"Engenharia, produção e construção",Produção e processamento,Produção e processos de fabricação,582,477,374,297,214,1404,756,-63.2
3509502,"Agricultura, silvicultura, pesca e veterinária",Veterinária,Veterinária,499,364,266,172,202,1530,660,-59.5
3509502,Artes e humanidades,Artes,"Produção audiovisual, de mídia e cultural",188,158,83,161,191,1019,706,1.6
3509502,Serviços,Serviços de segurança,Proteção de pessoas e de propriedades,134,156,76,193,190,920,822,41.8
3509502,"Engenharia, produção e construção",Engenharia e profissões correlatas,Engenharia química e de processos,203,195,197,183,182,1028,231,-10.3
3509502,Educação,Educação,Formação de professores de letras,151,200,160,164,164,1189,603,8.6
3509502,"Ciências naturais, matemática e estatística",Ciências físicas,Química,149,183,188,188,162,1196,458,8.7
3509502,Artes e humanidades,Artes,Música e artes cênicas,43,99,68,76,108,491,88,151.2
3509502,"Engenharia, produção e construção",Produção e processamento,Processamento de alimentos,95,121,81,91,103,707,152,8.4
3509502,"Ciências sociais, comunicação e informação",Comunicação e informação,Comunicação e reportagem,118,118,129,112,101,691,235,-14.4
3509502,Serviços,Serviços pessoais,Serviços de beleza,67,116,109,81,100,639,520,49.3
3509502,"Ciências naturais, matemática e estatística",Ciências biológicas e correlatas,Biologia,90,103,101,102,98,573,249,8.9
3509502,"Engenharia, produção e construção",Engenharia e profissões correlatas,Tecnologia de proteção ambiental,93,74,56,72,93,480,301,0.0
3509502,Saúde e bem-estar,Bem-estar,Serviço social,234,190,143,99,86,924,548,-63.2
3509502,Artes e humanidades,Programas interdisciplinares abrangendo artes e humanidades,Programas interdisciplinares abrangendo artes e humanidades,95,73,93,71,84,233,119,-11.6
3509502,Artes e humanidades,Artes,"Moda, design de interiores e desenho industrial",120,88,50,91,75,711,488,-37.5
3509502,Computação e Tecnologias da Informação e Comunicação (TIC),Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC),Soluções computacionais para domínios específicos,0,0,0,0,74,652,405,
3509502,"Ciências naturais, matemática e estatística","Programas interdisciplinares abrangendo ciências naturais, matemática e estatística","Programas interdisciplinares abrangendo ciências naturais, matemática e estatística",0,0,0,2,68,227,98,
3509502,Artes e humanidades,Línguas,Letras,47,49,47,73,53,327,108,12.8
3509502,"Ciências naturais, matemática e estatística",Matemática e estatística,Estatística,46,70,43,57,52,362,87,13.0
3509502,Artes e humanidades,Artes,Belas artes,33,37,50,35,50,378,145,51.5
3509502,Serviços,Serviços pessoais,Serviços de alimentação,57,71,47,64,48,351,271,-15.8
3509502,"Ciências naturais, matemática e estatística",Matemática e estatística,Matemática,34,53,33,38,48,296,11,41.2
3509502,Serviços,Serviços de transporte,Serviços de transporte,13,9,25,33,46,153,99,253.8
3509502,"Ciências naturais, matemática e estatística",Ciências físicas,Física,39,61,42,51,45,283,6,15.4
3509502,Artes e humanidades,Humanidades (exceto línguas),História e arqueologia,39,44,43,41,43,240,76,10.3
3509502,Artes e humanidades,Humanidades (exceto línguas),Religião e teologia,27,51,46,27,43,341,213,59.3
3509502,Artes e humanidades,Humanidades (exceto línguas),Filosofia e ética,44,41,59,36,39,147,41,-11.4
3509502,"Agricultura, silvicultura, pesca e veterinária",Agricultura,"Produção agrícola, agropecuária e zootecnia",52,39,41,50,38,548,216,-26.9
3509502,Serviços,Serviços pessoais,Turismo e hotelaria,53,28,32,26,29,151,110,-45.3
3509502,Saúde e bem-estar,Saúde,Medicina e terapia tradicional e complementar,0,11,21,34,26,192,176,
3509502,"Ciências naturais, matemática e estatística",Ciências físicas,Ciências da terra,20,20,13,16,24,186,35,20.0
3509502,Educação,Educação,Ciência da educação,0,2,6,4,15,238,241,
3509502,Computação e Tecnologias da Informação e Comunicação (TIC),Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC),Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC),0,1,0,3,15,71,85,
3509502,"Ciências sociais, comunicação e informação","Programas abrangendo ciências sociais, comunicação e informação em processo de definição da classificação","Programas abrangendo ciências sociais, comunicação e informação em processo de definição da classificação",0,0,0,0,14,273,278,
3509502,"Ciências sociais, comunicação e informação",Comunicação e informação,Ciência da informação e museologia,28,28,34,13,13,88,46,-53.6
3509502,"Negócios, administração e direito",Negócios e administração,Secretariado e trabalhos de escritório,6,5,10,7,8,56,51,33.3
3509502,"Negócios, administração e direito","Programas interdisciplinares abrangendo negócios, administração e direito","Programas interdisciplinares abrangendo negócios, administração e direito",2,0,1,4,7,31,36,250.0
