co_uf,co_curso,grupo_ies_abr,co_ies,curso_ies,curso_agrupado_fgv,curso_praca,escola_fgv,no_curso,praca_fgv,sigla_ies,curso_agrupado_key,grupo_ies_key
35,102848,PUC-SP,1638,PUCSP-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_SP,,Administração,SP,PUCSP,ADMINISTRACAO,PUCSP
35,102852,PUC-SP,4368,PUCSP-Ciências Econômicas,ECONOMIA,ECONOMIA_SP,,Ciências Econômicas,SP,PUCSP,ECONOMIA,PUCSP
33,105078,UCAM,11530,UCAM-Relações Internacionais,RI,RI_RJ,,Relações Internacionais,RJ,UCAM,RI,UCAM
53,1057767,IDP,134717,EDAP-Direito,DIREITO,DIREITO_DF,,Direito,DF,EDAP,DIREITO,IDP
53,1070606,IDP,48988,EDAP-Administração Pública,ADM PÚBLICA,ADM PÚBLICA_DF,,Administração Pública,DF,EDAP,ADM PUBLICA,IDP
33,1074392,FGV,68475,FGV-Matemática,MATEMÁTICA,MATEMÁTICA_RJ,EMAP,Matemática,RJ,FGV,MATEMATICA,FGV
33,1074392,FGV,82170,FGV-Matemática Aplicada,MATEMÁTICA,MATEMÁTICA_RJ,EMAP,Matemática Aplicada,RJ,FGV,MATEMATICA,FGV
33,1077609,UFF,6292,UFF-Ciências Econômicas,ECONOMIA,ECONOMIA_RJ,,Ciências Econômicas,RJ,UFF,ECONOMIA,UFF
33,1079286,UFF,6292,UFF-Ciências Sociais,CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS_RJ,,Ciências Sociais,RJ,UFF,CIENCIAS SOCIAIS,UFF
35,108112,MACKENZIE,242,MACKENZIE-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_SP,,Administração,SP,MACKENZIE,ADMINISTRACAO,MACKENZIE
33,108114,UCAM,10377,UCAM-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_RJ,,Administração,RJ,UCAM,ADMINISTRACAO,UCAM
33,108648,UFF,6292,UFF-Relações Internacionais,RI,RI_RJ,,Relações Internacionais,RJ,UFF,RI,UFF
33,10867,PUC-Rio,5808,PUC-RIO-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_RJ,,Administração,RJ,PUC-RIO,ADMINISTRACAO,PUCRIO
