co_uf,co_ies,co_curso,grupo_ies,no_curso,curso_agrupado_fgv,escola_fgv,sigla_ies,praca_fgv
35,1638,102848,PUC-SP,Administração,ADMINISTRAÇÃO,,PUCSP,SP
35,4368,102852,PUC-SP,Ciências Econômicas,ECONOMIA,,PUCSP,SP
33,11530,105078,UCAM,Relações Internacionais,RI,,UCAM,RJ
53,134717,1057767,IDP,Direito,DIREITO,,EDAP,DF
53,48988,1070606,IDP,Administração Pública,ADM PÚBLICA,,EDAP,DF
33,68475,1074392,FGV,Matemática,MATEMÁTICA,EMAP,FGV,RJ
33,82170,1074392,FGV,Matemática Aplicada,MATEMÁTICA,EMAP,FGV,RJ
33,6292,1077609,UFF,Ciências Econômicas,ECONOMIA,,UFF,RJ
33,6292,1079286,UFF,Ciências Sociais,CIÊNCIAS SOCIAIS,,UFF,RJ
35,242,108112,MACKENZIE,Administração,ADMINISTRAÇÃO,,MACKENZIE,SP
33,10377,108114,UCAM,Administração,ADMINISTRAÇÃO,,UCAM,RJ
33,6292,108648,UFF,Relações Internacionais,RI,,UFF,RJ
33,5808,10867,PUC-Rio,Administração,ADMINISTRAÇÃO,,PUC-RIO,RJ
33,5808,10868,PUC-Rio,Direito,DIREITO,,PUC-RIO,RJ
33,5808,10870,PUC-Rio,Ciências Econômicas,ECONOMIA,,PUC-RIO,RJ
35,242,109886,MACKENZIE,Direito,DIREITO,,MACKENZIE,SP
33,3776,1104375,ESPM,Comunicação Social - Jornalismo,COMUNICAÇÃO,,ESPM,RJ
33,6608,1104375,ESPM,Jornalismo,COMUNICAÇÃO,,ESPM,RJ
33,12683,111102,UCAM,Direito,DIREITO,,UCAM,RJ
33,12683,111106,UCAM,Administração,ADMINISTRAÇÃO,,UCAM,RJ
33,12683,111108,UCAM,Direito,DIREITO,,UCAM,RJ
33,12683,111110,UCAM,Direito,DIREITO,,UCAM,RJ
35,6006,11218,PUC-SP,Administração,ADMINISTRAÇÃO,,PUCSP,SP
35,6006,11220,PUC-SP,Ciências Econômicas,ECONOMIA,,PUCSP,SP
35,6006,11221,PUC-SP,Direito,DIREITO,,PUCSP,SP
33,6292,1122220,UFF,Direito,DIREITO,,UFF,RJ
35,6006,11224,PUC-SP,Ciências Sociais,CIÊNCIAS SOCIAIS,,PUCSP,SP
35,6006,11242,PUC-SP,Relações Internacionais,RI,,PUCSP,SP
33,6292,1125307,UFF,Matemática,MATEMÁTICA,,UFF,RJ
33,6292,1125326,UFF,Administração Pública,ADM PÚBLICA,,UFF,RJ
33,6017,11318,UERJ,Direito,DIREITO,,UERJ,RJ
33,6017,11319,UERJ,Ciência Econômica,ECONOMIA,,UERJ,RJ
33,6017,11320,UERJ,Administração,ADMINISTRAÇÃO,,UERJ,RJ
33,11330,1133600,IBMEC,Administração,ADMINISTRAÇÃO,,IBMEC,RJ
33,11330,1133601,IBMEC,Relações Internacionais,RI,,IBMEC,RJ
53,27324,1136978,PROCESSUS BSB,Administração Pública,ADM PÚBLICA,,PFD,DF
33,11530,1139946,UCAM,Administração,ADMINISTRAÇÃO,,UCAM,RJ
53,8,1140062,UNB,Comunicação Social - Comunicação Organizacional,COMUNICAÇÃO,,UNB,DF
33,11330,1147798,IBMEC,Ciências Econômicas,ECONOMIA,,IBMEC,RJ
33,9270,1148479,IBMEC,Comunicação Social - Publicidade E Propaganda,COMUNICAÇÃO,,IBMEC,RJ
33,2060,1148479,IBMEC,Comunicação Social Com Habilitação Em Publicidade E Propaganda,COMUNICAÇÃO,,IBMEC,RJ
33,6180,1149663,IBMEC,Comunicação Social - Jornalismo,COMUNICAÇÃO,,IBMEC,RJ
33,5150,1149663,IBMEC,Jornalismo,COMUNICAÇÃO,,IBMEC,RJ
35,6006,1152435,PUC-SP,Administração,ADMINISTRAÇÃO,,PUCSP,SP
33,5765,1154687,UCAM,Comunicação Social - Publicidade E Propaganda E Mídias Digitais,COMUNICAÇÃO,,UCAM,RJ
53,22356,1158614,PROCESSUS BSB,Direito,DIREITO,,PFD,DF
33,6446,116840,UFRJ,Relações Internacionais,RI,,UFRJ,RJ
33,6446,116842,UFRJ,Comunicação Visual Design,COMUNICAÇÃO,,UFRJ,RJ
35,605,118426,USP,Direito,DIREITO,,USP,SP
35,106032,1185397,IDP,Direito,DIREITO,,IDP,SP
33,1153,1186743,UCAM,Administração,ADMINISTRAÇÃO,,UCAM,RJ
33,9224,1188430,UCAM,Administração,ADMINISTRAÇÃO,,UCAM,RJ
53,4422,1191653,UNICEUB,Relações Internacionais,RI,,UNICEUB,DF
33,9542,1193534,IBMEC,Direito,DIREITO,,IBMEC,RJ
